Data;Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212)
05/2021;76,300;104,100
06/2021;80,700;107,000
07/2021;82,300;107,600
08/2021;80,700;106,500
09/2021;74,100;105,900
10/2021;75,800;105,000
11/2021;74,500;102,900
12/2021;76,000;100,600
01/2022;74,800;98,900
02/2022;77,900;97,300
03/2022;75,500;95,700
04/2022;78,800;97,200
05/2022;76,300;99,600
06/2022;78,900;100,500
07/2022;79,700;98,800
08/2022;82,100;99,900
09/2022;86,900;99,100
10/2022;87,400;95,700
11/2022;84,100;93,100
12/2022;87,800;93,800
01/2023;86,900;93,500
02/2023;85,700;92,600
03/2023;88,000;95,000
04/2023;87,500;94,200
05/2023;89,800;92,900
06/2023;91,700;93,300
07/2023;94,100;91,100
08/2023;94,800;91,000
09/2023;94,600;90,400
10/2023;92,400;90,900
11/2023;91,400;93,500
12/2023;92,800;95,700
01/2024;90,900;97,200
02/2024;89,500;97,400
03/2024;91,600;96,500
04/2024;93,700;96,700
05/2024;90,600;98,000
06/2024;91,900;98,500
07/2024;93,300;101,500
08/2024;93,300;101,500
09/2024;93,500;100,400
10/2024;92,800;99,900
11/2024;94,400;99,100
12/2024;91,300;99,700
01/2025;86,200;98,400
02/2025;83,600;98,300
03/2025;84,300;98,400
04/2025;84,800;98,000
05/2025;86,700;98,900
