"Tabela 5906 - Índice e variação da receita nominal e do volume de serviços (2022 = 100)"
"Variável - PMS - Número-índice com ajuste sazonal (2022=100) (Número-índice)"
"";"Mês x Tipos de índice"
"";"janeiro 2011";"fevereiro 2011";"março 2011";"abril 2011";"maio 2011";"junho 2011";"julho 2011";"agosto 2011";"setembro 2011";"outubro 2011";"novembro 2011";"dezembro 2011";"janeiro 2012";"fevereiro 2012";"março 2012";"abril 2012";"maio 2012";"junho 2012";"julho 2012";"agosto 2012";"setembro 2012";"outubro 2012";"novembro 2012";"dezembro 2012";"janeiro 2013";"fevereiro 2013";"março 2013";"abril 2013";"maio 2013";"junho 2013";"julho 2013";"agosto 2013";"setembro 2013";"outubro 2013";"novembro 2013";"dezembro 2013";"janeiro 2014";"fevereiro 2014";"março 2014";"abril 2014";"maio 2014";"junho 2014";"julho 2014";"agosto 2014";"setembro 2014";"outubro 2014";"novembro 2014";"dezembro 2014";"janeiro 2015";"fevereiro 2015";"março 2015";"abril 2015";"maio 2015";"junho 2015";"julho 2015";"agosto 2015";"setembro 2015";"outubro 2015";"novembro 2015";"dezembro 2015";"janeiro 2016";"fevereiro 2016";"março 2016";"abril 2016";"maio 2016";"junho 2016";"julho 2016";"agosto 2016";"setembro 2016";"outubro 2016";"novembro 2016";"dezembro 2016";"janeiro 2017";"fevereiro 2017";"março 2017";"abril 2017";"maio 2017";"junho 2017";"julho 2017";"agosto 2017";"setembro 2017";"outubro 2017";"novembro 2017";"dezembro 2017";"janeiro 2018";"fevereiro 2018";"março 2018";"abril 2018";"maio 2018";"junho 2018";"julho 2018";"agosto 2018";"setembro 2018";"outubro 2018";"novembro 2018";"dezembro 2018";"janeiro 2019";"fevereiro 2019";"março 2019";"abril 2019";"maio 2019";"junho 2019";"julho 2019";"agosto 2019";"setembro 2019";"outubro 2019";"novembro 2019";"dezembro 2019";"janeiro 2020";"fevereiro 2020";"março 2020";"abril 2020";"maio 2020";"junho 2020";"julho 2020";"agosto 2020";"setembro 2020";"outubro 2020";"novembro 2020";"dezembro 2020";"janeiro 2021";"fevereiro 2021";"março 2021";"abril 2021";"maio 2021";"junho 2021";"julho 2021";"agosto 2021";"setembro 2021";"outubro 2021";"novembro 2021";"dezembro 2021";"janeiro 2022";"fevereiro 2022";"março 2022";"abril 2022";"maio 2022";"junho 2022";"julho 2022";"agosto 2022";"setembro 2022";"outubro 2022";"novembro 2022";"dezembro 2022";"janeiro 2023";"fevereiro 2023";"março 2023";"abril 2023";"maio 2023";"junho 2023";"julho 2023";"agosto 2023";"setembro 2023";"outubro 2023";"novembro 2023";"dezembro 2023";"janeiro 2024";"fevereiro 2024";"março 2024";"abril 2024";"maio 2024";"junho 2024";"julho 2024";"agosto 2024";"setembro 2024";"outubro 2024";"novembro 2024";"dezembro 2024";"janeiro 2025";"fevereiro 2025";"março 2025"
"";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços";"Índice de volume de serviços"
"Brasil";"88,99317";"89,08822";"88,99865";"89,79505";"90,30238";"90,20724";"91,43621";"91,27513";"91,02016";"90,24646";"91,50240";"92,37876";"92,26051";"93,40325";"93,14690";"92,88373";"93,69427";"93,95803";"94,15500";"95,29158";"94,80638";"95,27386";"95,43574";"96,78861";"95,75349";"96,34991";"96,71561";"97,80765";"97,42679";"98,58955";"98,20899";"97,92895";"98,91549";"99,39056";"100,01679";"100,16069";"100,76303";"100,17140";"100,42933";"100,73295";"100,35910";"99,87374";"100,36322";"100,27242";"100,86813";"101,45483";"102,07309";"99,89389";"98,12943";"98,83705";"99,80145";"98,15513";"98,12094";"96,51146";"96,00635";"96,75807";"95,92225";"96,01157";"95,11368";"94,58614";"94,21856";"94,33605";"94,30142";"92,72671";"92,70107";"92,26701";"92,93115";"91,44287";"91,27712";"89,60454";"89,67319";"89,07942";"90,62466";"90,65486";"88,23648";"89,81242";"88,96485";"90,21817";"89,95945";"89,13507";"88,66052";"88,92880";"89,10857";"90,38207";"88,44780";"88,79360";"89,29571";"89,90173";"85,66973";"91,25377";"89,35347";"90,65832";"90,13846";"89,38223";"89,68892";"90,65307";"90,33053";"89,68800";"89,31855";"89,57431";"89,83364";"88,95590";"90,03472";"89,80891";"91,12360";"92,08128";"91,60733";"91,48916";"91,87129";"92,20375";"84,09435";"74,82837";"73,70446";"76,76725";"79,10035";"81,38701";"83,74222";"85,58393";"87,42691";"87,42670";"88,82003";"91,37153";"86,90465";"89,46871";"90,92403";"93,02454";"93,62927";"94,34603";"93,57496";"92,91376";"95,45104";"97,85140";"96,83254";"97,09827";"97,65820";"98,09718";"98,86414";"99,07482";"100,12720";"101,62493";"102,39176";"102,11421";"101,85257";"104,55797";"101,15857";"101,97932";"103,32895";"101,78860";"103,17833";"103,16820";"103,81249";"103,56534";"102,71342";"102,67959";"103,89842";"104,45502";"105,28975";"104,73796";"104,71083";"105,04815";"104,60305";"106,08892";"106,31968";"105,87520";"107,06238";"108,34250";"106,89992";"107,04912";"106,49194";"107,41465";"107,75814"
"Fonte: IBGE - Pesquisa Mensal de Serviços"

""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
