"Tabela 8888 - Produção Física Industrial, por seções e atividades industriais"
"Variável - PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)"
"";"Mês x Seções e atividades industriais (CNAE 2.0)"
"";"janeiro 2002";"fevereiro 2002";"março 2002";"abril 2002";"maio 2002";"junho 2002";"julho 2002";"agosto 2002";"setembro 2002";"outubro 2002";"novembro 2002";"dezembro 2002";"janeiro 2003";"fevereiro 2003";"março 2003";"abril 2003";"maio 2003";"junho 2003";"julho 2003";"agosto 2003";"setembro 2003";"outubro 2003";"novembro 2003";"dezembro 2003";"janeiro 2004";"fevereiro 2004";"março 2004";"abril 2004";"maio 2004";"junho 2004";"julho 2004";"agosto 2004";"setembro 2004";"outubro 2004";"novembro 2004";"dezembro 2004";"janeiro 2005";"fevereiro 2005";"março 2005";"abril 2005";"maio 2005";"junho 2005";"julho 2005";"agosto 2005";"setembro 2005";"outubro 2005";"novembro 2005";"dezembro 2005";"janeiro 2006";"fevereiro 2006";"março 2006";"abril 2006";"maio 2006";"junho 2006";"julho 2006";"agosto 2006";"setembro 2006";"outubro 2006";"novembro 2006";"dezembro 2006";"janeiro 2007";"fevereiro 2007";"março 2007";"abril 2007";"maio 2007";"junho 2007";"julho 2007";"agosto 2007";"setembro 2007";"outubro 2007";"novembro 2007";"dezembro 2007";"janeiro 2008";"fevereiro 2008";"março 2008";"abril 2008";"maio 2008";"junho 2008";"julho 2008";"agosto 2008";"setembro 2008";"outubro 2008";"novembro 2008";"dezembro 2008";"janeiro 2009";"fevereiro 2009";"março 2009";"abril 2009";"maio 2009";"junho 2009";"julho 2009";"agosto 2009";"setembro 2009";"outubro 2009";"novembro 2009";"dezembro 2009";"janeiro 2010";"fevereiro 2010";"março 2010";"abril 2010";"maio 2010";"junho 2010";"julho 2010";"agosto 2010";"setembro 2010";"outubro 2010";"novembro 2010";"dezembro 2010";"janeiro 2011";"fevereiro 2011";"março 2011";"abril 2011";"maio 2011";"junho 2011";"julho 2011";"agosto 2011";"setembro 2011";"outubro 2011";"novembro 2011";"dezembro 2011";"janeiro 2012";"fevereiro 2012";"março 2012";"abril 2012";"maio 2012";"junho 2012";"julho 2012";"agosto 2012";"setembro 2012";"outubro 2012";"novembro 2012";"dezembro 2012";"janeiro 2013";"fevereiro 2013";"março 2013";"abril 2013";"maio 2013";"junho 2013";"julho 2013";"agosto 2013";"setembro 2013";"outubro 2013";"novembro 2013";"dezembro 2013";"janeiro 2014";"fevereiro 2014";"março 2014";"abril 2014";"maio 2014";"junho 2014";"julho 2014";"agosto 2014";"setembro 2014";"outubro 2014";"novembro 2014";"dezembro 2014";"janeiro 2015";"fevereiro 2015";"março 2015";"abril 2015";"maio 2015";"junho 2015";"julho 2015";"agosto 2015";"setembro 2015";"outubro 2015";"novembro 2015";"dezembro 2015";"janeiro 2016";"fevereiro 2016";"março 2016";"abril 2016";"maio 2016";"junho 2016";"julho 2016";"agosto 2016";"setembro 2016";"outubro 2016";"novembro 2016";"dezembro 2016";"janeiro 2017";"fevereiro 2017";"março 2017";"abril 2017";"maio 2017";"junho 2017";"julho 2017";"agosto 2017";"setembro 2017";"outubro 2017";"novembro 2017";"dezembro 2017";"janeiro 2018";"fevereiro 2018";"março 2018";"abril 2018";"maio 2018";"junho 2018";"julho 2018";"agosto 2018";"setembro 2018";"outubro 2018";"novembro 2018";"dezembro 2018";"janeiro 2019";"fevereiro 2019";"março 2019";"abril 2019";"maio 2019";"junho 2019";"julho 2019";"agosto 2019";"setembro 2019";"outubro 2019";"novembro 2019";"dezembro 2019";"janeiro 2020";"fevereiro 2020";"março 2020";"abril 2020";"maio 2020";"junho 2020";"julho 2020";"agosto 2020";"setembro 2020";"outubro 2020";"novembro 2020";"dezembro 2020";"janeiro 2021";"fevereiro 2021";"março 2021";"abril 2021";"maio 2021";"junho 2021";"julho 2021";"agosto 2021";"setembro 2021";"outubro 2021";"novembro 2021";"dezembro 2021";"janeiro 2022";"fevereiro 2022";"março 2022";"abril 2022";"maio 2022";"junho 2022";"julho 2022";"agosto 2022";"setembro 2022";"outubro 2022";"novembro 2022";"dezembro 2022";"janeiro 2023";"fevereiro 2023";"março 2023";"abril 2023";"maio 2023";"junho 2023";"julho 2023";"agosto 2023";"setembro 2023";"outubro 2023";"novembro 2023";"dezembro 2023";"janeiro 2024";"fevereiro 2024";"março 2024";"abril 2024";"maio 2024";"junho 2024";"julho 2024";"agosto 2024";"setembro 2024";"outubro 2024";"novembro 2024";"dezembro 2024";"janeiro 2025";"fevereiro 2025";"março 2025"
"";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral";"1 Indústria geral"
"Brasil";"90,77052";"92,80281";"92,43094";"92,60024";"92,58531";"92,84912";"93,18859";"92,38015";"92,73106";"93,12919";"93,02590";"92,70345";"93,05576";"92,64103";"92,47749";"92,29882";"90,94848";"91,43783";"90,60408";"91,93146";"94,54342";"94,97283";"95,97521";"94,51730";"96,38865";"97,88392";"98,47248";"99,24811";"100,12933";"100,50472";"101,19889";"102,30888";"102,69503";"102,10581";"102,05236";"102,68830";"103,25061";"101,86255";"102,82219";"102,88700";"106,41691";"104,18905";"103,59592";"103,68428";"102,99557";"102,47050";"103,45142";"105,17079";"105,63235";"106,46163";"105,86484";"106,34820";"107,08283";"105,73518";"106,56730";"106,40298";"105,24715";"106,13260";"107,54252";"108,26033";"108,01957";"109,37720";"110,81954";"111,92968";"112,18933";"112,91795";"112,53167";"114,15157";"112,90342";"116,01088";"114,94036";"115,26942";"117,17622";"116,88224";"117,14268";"117,25257";"118,12300";"119,62058";"120,19689";"118,83964";"120,20140";"116,84258";"109,80358";"97,65556";"99,73611";"102,08014";"102,53308";"103,87819";"105,17240";"106,65709";"107,99712";"109,69576";"111,21668";"113,58990";"115,10809";"115,56613";"117,29764";"117,09863";"119,73062";"120,19984";"119,83268";"119,35833";"118,61252";"118,32989";"118,55601";"118,20405";"119,00195";"119,63293";"119,96750";"121,42051";"121,84729";"118,73258";"122,32660";"120,07206";"119,87228";"118,92047";"117,04198";"115,75638";"116,30365";"119,37711";"114,31905";"115,20780";"114,66454";"114,60695";"115,20222";"115,45134";"117,00565";"119,53829";"117,17405";"118,89279";"117,35999";"118,04673";"119,17624";"115,80873";"118,08039";"120,03485";"119,75701";"120,22448";"119,52097";"119,85821";"120,43622";"119,10742";"119,75047";"115,51305";"117,55641";"118,02403";"117,58031";"116,62329";"115,45862";"112,16501";"114,97468";"115,42225";"115,60663";"115,76641";"114,72693";"111,47393";"112,07754";"111,12611";"110,67076";"108,51671";"107,32471";"106,45525";"104,58231";"105,02337";"102,65325";"102,50662";"100,70868";"99,19301";"100,08064";"99,00427";"99,54835";"99,61137";"99,98445";"98,63422";"99,35004";"97,46887";"98,52250";"97,14255";"98,09482";"99,71175";"100,45195";"101,63631";"99,96871";"99,95994";"100,35535";"101,30526";"101,47163";"101,53843";"101,89376";"102,87255";"103,29147";"106,11066";"103,64481";"103,07866";"104,52342";"104,89715";"93,43894";"105,00923";"104,68574";"103,81055";"100,84812";"102,24659";"102,14654";"101,98883";"101,55568";"101,83340";"101,35756";"101,84620";"101,78994";"100,81149";"100,24103";"101,33469";"101,34498";"103,62707";"101,20395";"99,79919";"101,27408";"101,81469";"94,03795";"75,47030";"81,36285";"89,47544";"97,55343";"100,66364";"103,34453";"104,96273";"105,41089";"104,87485";"105,76823";"104,11755";"101,93201";"100,07459";"101,16135";"100,76593";"99,25963";"99,41724";"99,03511";"98,67936";"98,66112";"100,19616";"100,13890";"100,95176";"100,12858";"100,75456";"100,21972";"100,12155";"101,08744";"99,74682";"98,14701";"99,77700";"99,79714";"99,85862";"99,83612";"99,67799";"100,32722";"99,97861";"100,51791";"99,97297";"99,36074";"100,11271";"99,61592";"100,13760";"101,25205";"102,93656";"101,65037";"101,90203";"102,22950";"101,99247";"100,51585";"104,86449";"103,30220";"103,47012";"104,38954";"104,30489";"103,60259";"103,31849";"103,46134";"103,49572";"104,70530"
"Fonte: IBGE - Pesquisa Industrial Mensal - Produção Física"

""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
